invoice_id,vendor_id,vendor_name,vendor_category,region,approver,invoice_date,due_date,payment_terms,invoice_amount,paid_amount,outstanding_balance,payment_date,payment_status,payment_method,days_to_pay,days_early_late,is_on_time,has_discount_terms,discount_rate,discount_captured,discount_amount
AP-0016,VND-018,BuildFast Materials,Materials,South,Marco Diaz,2025-09-29,2025-10-29,30,27328.34,0.0,27328.34,,Overdue,Credit Card,,-214,No,Yes,0.01,No,0.0
AP-0017,VND-018,BuildFast Materials,Materials,South,Laura Chen,2026-03-25,2026-05-24,60,45181.48,0.0,45181.48,,Pending,Credit Card,,,,Yes,0.01,No,0.0
AP-0018,VND-001,Acme Supplies Co.,Materials,Central,Ana Torres,2025-01-08,2025-02-07,30,5407.67,5407.67,0.0,2025-02-20,Paid,Wire,43,-13,No,Yes,0.01,No,0.0
AP-0019,VND-003,FastShip Logistics,Logistics,Central,Marco Diaz,2025-08-08,2025-11-06,90,11245.44,6613.51,4631.93,2025-11-08,Partial,Check,92,-2,No,No,0.0,No,0.0
AP-0020,VND-016,CleanWater Utilities,Utilities,West,Marco Diaz,2026-03-18,2026-04-17,30,5637.31,0.0,5637.31,,Pending,ACH,,,,Yes,0.01,No,0.0
AP-0021,VND-021,PrimePack Logistics,Logistics,North,Sofia Reyes,2025-04-22,2025-06-21,60,5724.47,5724.47,0.0,2025-06-13,Paid,Credit Card,52,8,Yes,Yes,0.01,No,0.0
AP-0022,VND-014,NetConnect Systems,IT,South,Laura Chen,2025-03-19,2025-04-18,30,38234.81,38234.81,0.0,2025-05-16,Paid,Credit Card,58,-28,No,No,0.0,No,0.0
AP-0023,VND-001,Acme Supplies Co.,Materials,North,Marco Diaz,2026-05-13,2026-07-12,60,25105.2,0.0,25105.2,,Pending,Wire,,,,No,0.0,No,0.0
AP-0024,VND-001,Acme Supplies Co.,Materials,West,Laura Chen,2026-03-10,2026-04-24,45,35436.39,19253.86,16182.53,2026-04-25,Partial,Credit Card,46,-1,No,No,0.0,No,0.0
AP-0025,VND-010,DataBridge IT,IT,South,Sofia Reyes,2025-02-28,2025-04-29,60,8760.68,0.0,8760.68,,Overdue,ACH,,-397,No,Yes,0.01,No,0.0
AP-0026,VND-017,OfficePro Services,Services,South,Sofia Reyes,2025-03-12,2025-04-11,30,25016.3,25016.3,0.0,2025-04-20,Paid,ACH,39,-9,No,Yes,0.01,No,0.0
AP-0027,VND-004,BuildRight Materials,Materials,Central,Marco Diaz,2026-03-06,2026-04-05,30,33553.91,0.0,33553.91,,Pending,ACH,,,,Yes,0.01,No,0.0
AP-0028,VND-022,Apex Consulting,Services,East,Marco Diaz,2025-05-15,2025-07-14,60,27852.54,27852.54,0.0,2025-07-14,Paid,Check,60,0,Yes,Yes,0.01,No,0.0
AP-0029,VND-015,ExpressRoute Logistics,Logistics,Central,Ana Torres,2025-08-07,2025-09-06,30,10611.81,10611.81,0.0,2025-09-03,Paid,ACH,27,3,Yes,Yes,0.01,No,0.0
AP-0030,VND-003,FastShip Logistics,Logistics,South,Laura Chen,2026-03-25,2026-04-24,30,16841.15,16841.15,0.0,2026-04-24,Paid,Check,30,0,Yes,No,0.0,No,0.0
AP-0031,VND-018,BuildFast Materials,Materials,East,Sofia Reyes,2025-04-29,2025-06-13,45,44706.21,44706.21,0.0,2025-06-13,Paid,Wire,45,0,Yes,No,0.0,No,0.0
AP-0032,VND-010,DataBridge IT,IT,Central,Marco Diaz,2025-09-28,2025-10-28,30,42905.68,0.0,42905.68,,Overdue,Check,,-215,No,Yes,0.01,No,0.0
AP-0033,VND-002,TechCore Solutions,IT,North,Pedro Alvarez,2025-01-04,2025-01-19,15,30016.74,0.0,30016.74,,Overdue,Check,,-497,No,Yes,0.02,No,0.0
AP-0034,VND-006,PowerGrid Utilities,Utilities,West,Ana Torres,2025-04-25,2025-05-10,15,1591.04,0.0,1591.04,,Overdue,Credit Card,,-386,No,No,0.0,No,0.0
AP-0035,VND-018,BuildFast Materials,Materials,North,Laura Chen,2025-05-11,2025-07-10,60,4007.79,0.0,4007.79,,Overdue,Wire,,-325,No,Yes,0.01,No,0.0
AP-0036,VND-002,TechCore Solutions,IT,East,Marco Diaz,2025-12-29,2026-01-28,30,63508.72,63508.72,0.0,2026-01-25,Paid,Wire,27,3,Yes,No,0.0,No,0.0
AP-0037,VND-008,GreenEnergy Corp.,Utilities,South,Marco Diaz,2025-07-03,2025-07-18,15,11180.18,0.0,11180.18,,Overdue,Credit Card,,-317,No,Yes,0.02,No,0.0
AP-0038,VND-022,Apex Consulting,Services,South,Laura Chen,2026-01-27,2026-02-26,30,35270.17,35270.17,0.0,2026-02-23,Paid,Wire,27,3,Yes,No,0.0,No,0.0
AP-0039,VND-015,ExpressRoute Logistics,Logistics,East,Laura Chen,2025-01-25,2025-02-24,30,13540.63,13540.63,0.0,2025-03-08,Paid,Wire,42,-12,No,Yes,0.01,No,0.0
AP-0040,VND-012,FacilityPro Services,Facilities,Central,Pedro Alvarez,2025-04-29,2025-05-14,15,30942.27,30942.27,0.0,2025-05-19,Paid,Check,20,-5,No,Yes,0.02,No,0.0
AP-0041,VND-009,MetalWorks Ltd.,Materials,North,Sofia Reyes,2025-11-18,2026-01-17,60,22946.91,22946.91,0.0,2026-01-21,Paid,Credit Card,64,-4,No,No,0.0,No,0.0
AP-0042,VND-002,TechCore Solutions,IT,West,Sofia Reyes,2026-03-18,2026-05-17,60,10248.04,0.0,10248.04,,Pending,Wire,,,,Yes,0.01,No,0.0
AP-0043,VND-004,BuildRight Materials,Materials,East,Ana Torres,2025-12-01,2026-01-30,60,21315.22,21315.22,0.0,2026-01-27,Paid,Check,57,3,Yes,Yes,0.01,No,0.0
AP-0044,VND-014,NetConnect Systems,IT,West,Marco Diaz,2025-01-01,2025-03-02,60,27790.62,16766.94,11023.68,2025-03-07,Partial,Check,65,-5,No,Yes,0.01,No,0.0
AP-0045,VND-015,ExpressRoute Logistics,Logistics,West,Pedro Alvarez,2025-06-23,2025-09-21,90,13518.16,13518.16,0.0,2025-09-19,Paid,Wire,88,2,Yes,Yes,0.005,No,0.0
AP-0046,VND-025,RapidShip Co.,Logistics,South,Laura Chen,2025-05-31,2025-06-30,30,1464.08,1464.08,0.0,2025-06-28,Paid,Wire,28,2,Yes,Yes,0.01,No,0.0
AP-0047,VND-025,RapidShip Co.,Logistics,North,Pedro Alvarez,2026-01-29,2026-02-28,30,10393.17,10393.17,0.0,2026-03-13,Paid,Credit Card,43,-13,No,Yes,0.01,No,0.0
AP-0048,VND-025,RapidShip Co.,Logistics,North,Pedro Alvarez,2026-04-21,2026-05-21,30,1954.15,1369.29,584.86,2026-05-31,Partial,Wire,40,-10,No,Yes,0.01,No,0.0
AP-0049,VND-017,OfficePro Services,Services,Central,Ana Torres,2026-03-13,2026-06-11,90,33731.06,18124.95,15606.11,2026-05-31,Partial,Check,79,11,Yes,Yes,0.005,No,0.0
AP-0050,VND-025,RapidShip Co.,Logistics,South,Laura Chen,2025-10-09,2025-11-08,30,9357.58,9357.58,0.0,2025-11-08,Paid,Credit Card,30,0,Yes,No,0.0,No,0.0
AP-0051,VND-011,QuickFreight Inc.,Logistics,East,Ana Torres,2025-06-04,2025-07-04,30,5393.97,5393.97,0.0,2025-07-11,Paid,ACH,37,-7,No,Yes,0.01,No,0.0
AP-0052,VND-018,BuildFast Materials,Materials,West,Pedro Alvarez,2026-03-07,2026-04-06,30,20694.89,0.0,20694.89,,Pending,ACH,,,,No,0.0,No,0.0
AP-0053,VND-025,RapidShip Co.,Logistics,Central,Pedro Alvarez,2025-12-27,2026-01-11,15,6673.64,4790.77,1882.87,2026-01-23,Partial,Credit Card,27,-12,No,Yes,0.02,No,0.0
AP-0054,VND-024,EliteFacilities Corp.,Facilities,Central,Ana Torres,2025-08-13,2025-11-11,90,11006.87,11006.87,0.0,2025-11-14,Paid,Wire,93,-3,No,Yes,0.005,No,0.0
AP-0055,VND-022,Apex Consulting,Services,West,Marco Diaz,2025-01-28,2025-02-27,30,36556.37,36556.37,0.0,2025-03-06,Paid,Credit Card,37,-7,No,Yes,0.01,No,0.0
AP-0056,VND-015,ExpressRoute Logistics,Logistics,South,Sofia Reyes,2025-12-02,2026-01-31,60,5021.55,5021.55,0.0,2026-02-04,Paid,Check,64,-4,No,Yes,0.01,No,0.0
AP-0057,VND-013,SafetyFirst Supplies,Materials,East,Pedro Alvarez,2026-04-27,2026-05-27,30,2930.4,0.0,2930.4,,Pending,Check,,,,Yes,0.01,No,0.0
AP-0058,VND-021,PrimePack Logistics,Logistics,North,Sofia Reyes,2025-07-24,2025-08-23,30,16945.35,16945.35,0.0,2025-08-20,Paid,ACH,27,3,Yes,Yes,0.01,No,0.0
AP-0059,VND-007,ProStaff Services,Services,West,Laura Chen,2025-04-28,2025-05-28,30,31778.3,31778.3,0.0,2025-05-28,Paid,Check,30,0,Yes,Yes,0.01,No,0.0
AP-0060,VND-019,SkyNet IT Solutions,IT,North,Laura Chen,2025-07-23,2025-09-21,60,10699.74,10699.74,0.0,2025-10-02,Paid,Credit Card,71,-11,No,Yes,0.01,No,0.0
AP-0061,VND-022,Apex Consulting,Services,Central,Sofia Reyes,2026-03-15,2026-05-14,60,27476.29,0.0,27476.29,,Pending,ACH,,,,Yes,0.01,No,0.0
AP-0062,VND-014,NetConnect Systems,IT,West,Sofia Reyes,2026-04-16,2026-06-15,60,58048.15,58048.15,0.0,2026-05-31,Paid,Credit Card,45,15,Yes,Yes,0.01,No,0.0
AP-0063,VND-009,MetalWorks Ltd.,Materials,Central,Ana Torres,2026-03-23,2026-06-21,90,41635.26,0.0,41635.26,,Pending,Credit Card,,,,Yes,0.005,No,0.0
AP-0064,VND-003,FastShip Logistics,Logistics,East,Pedro Alvarez,2026-01-24,2026-04-24,90,7391.54,7391.54,0.0,2026-04-21,Paid,Wire,87,3,Yes,Yes,0.005,No,0.0
AP-0065,VND-009,MetalWorks Ltd.,Materials,Central,Laura Chen,2025-03-29,2025-04-28,30,13585.09,13585.09,0.0,2025-05-02,Paid,ACH,34,-4,No,Yes,0.01,No,0.0
AP-0066,VND-008,GreenEnergy Corp.,Utilities,West,Pedro Alvarez,2025-04-06,2025-04-21,15,4766.42,4766.42,0.0,2025-04-18,Paid,Credit Card,12,3,Yes,Yes,0.02,No,0.0
AP-0067,VND-018,BuildFast Materials,Materials,Central,Laura Chen,2025-12-27,2026-02-25,60,35737.04,35737.04,0.0,2026-02-19,Paid,Credit Card,54,6,Yes,Yes,0.01,No,0.0
AP-0068,VND-004,BuildRight Materials,Materials,South,Laura Chen,2025-07-16,2025-08-15,30,12386.46,12386.46,0.0,2025-08-24,Paid,ACH,39,-9,No,Yes,0.01,No,0.0
AP-0069,VND-010,DataBridge IT,IT,North,Marco Diaz,2026-01-05,2026-02-04,30,18458.12,18458.12,0.0,2026-02-03,Paid,Check,29,1,Yes,Yes,0.01,No,0.0
AP-0070,VND-009,MetalWorks Ltd.,Materials,North,Sofia Reyes,2026-05-18,2026-06-17,30,6924.21,6924.21,0.0,2026-05-31,Paid,Check,13,17,Yes,Yes,0.01,No,0.0
AP-0071,VND-009,MetalWorks Ltd.,Materials,West,Sofia Reyes,2026-05-19,2026-07-18,60,5555.94,0.0,5555.94,,Pending,ACH,,,,Yes,0.01,No,0.0
AP-0072,VND-019,SkyNet IT Solutions,IT,East,Sofia Reyes,2026-03-03,2026-04-02,30,50473.82,50473.82,0.0,2026-04-19,Paid,Wire,47,-17,No,No,0.0,No,0.0
AP-0073,VND-015,ExpressRoute Logistics,Logistics,West,Laura Chen,2025-03-03,2025-04-17,45,12582.99,0.0,12582.99,,Overdue,Credit Card,,-409,No,No,0.0,No,0.0
AP-0074,VND-007,ProStaff Services,Services,South,Laura Chen,2025-09-03,2025-10-03,30,9431.1,9431.1,0.0,2025-09-23,Paid,ACH,20,10,Yes,Yes,0.01,No,0.0
AP-0075,VND-010,DataBridge IT,IT,North,Marco Diaz,2026-04-10,2026-05-25,45,10338.48,10338.48,0.0,2026-05-28,Paid,Check,48,-3,No,Yes,0.015,No,0.0
AP-0076,VND-019,SkyNet IT Solutions,IT,South,Pedro Alvarez,2025-06-02,2025-07-02,30,73130.86,73130.86,0.0,2025-07-05,Paid,ACH,33,-3,No,No,0.0,No,0.0
AP-0077,VND-024,EliteFacilities Corp.,Facilities,Central,Laura Chen,2026-04-25,2026-05-25,30,24726.37,0.0,24726.37,,Overdue,Credit Card,,-6,No,Yes,0.01,No,0.0
AP-0078,VND-016,CleanWater Utilities,Utilities,West,Sofia Reyes,2025-11-27,2026-01-26,60,9253.85,9253.85,0.0,2026-01-31,Paid,ACH,65,-5,No,Yes,0.01,No,0.0
AP-0079,VND-022,Apex Consulting,Services,Central,Ana Torres,2025-02-11,2025-03-28,45,31235.03,31235.03,0.0,2025-03-22,Paid,ACH,39,6,Yes,Yes,0.015,No,0.0
AP-0080,VND-019,SkyNet IT Solutions,IT,West,Pedro Alvarez,2025-12-23,2026-03-23,90,35626.11,35626.11,0.0,2026-03-25,Paid,ACH,92,-2,No,Yes,0.005,No,0.0
AP-0081,VND-006,PowerGrid Utilities,Utilities,East,Pedro Alvarez,2026-02-15,2026-04-01,45,12296.71,12296.71,0.0,2026-03-30,Paid,Credit Card,43,2,Yes,Yes,0.015,No,0.0
AP-0082,VND-025,RapidShip Co.,Logistics,West,Ana Torres,2026-02-28,2026-05-29,90,2029.88,2029.88,0.0,2026-05-31,Paid,ACH,92,-2,No,Yes,0.005,No,0.0
AP-0083,VND-015,ExpressRoute Logistics,Logistics,North,Marco Diaz,2025-10-22,2025-11-21,30,9324.21,9324.21,0.0,2025-12-01,Paid,Check,40,-10,No,Yes,0.01,No,0.0
AP-0084,VND-008,GreenEnergy Corp.,Utilities,South,Laura Chen,2025-04-06,2025-06-05,60,3758.16,3758.16,0.0,2025-06-04,Paid,ACH,59,1,Yes,No,0.0,No,0.0
AP-0085,VND-004,BuildRight Materials,Materials,South,Pedro Alvarez,2026-03-02,2026-04-16,45,42066.75,42066.75,0.0,2026-04-03,Paid,Check,32,13,Yes,No,0.0,No,0.0
AP-0086,VND-017,OfficePro Services,Services,South,Sofia Reyes,2025-12-15,2026-02-13,60,37567.19,16582.89,20984.3,2026-02-17,Partial,Check,64,-4,No,Yes,0.01,No,0.0
AP-0087,VND-019,SkyNet IT Solutions,IT,Central,Pedro Alvarez,2026-05-11,2026-08-09,90,30884.3,30884.3,0.0,2026-05-31,Paid,Wire,20,70,Yes,Yes,0.005,Yes,154.42
AP-0088,VND-011,QuickFreight Inc.,Logistics,South,Marco Diaz,2026-02-25,2026-03-27,30,1829.3,1829.3,0.0,2026-03-29,Paid,Credit Card,32,-2,No,No,0.0,No,0.0
AP-0089,VND-022,Apex Consulting,Services,South,Pedro Alvarez,2026-05-30,2026-06-29,30,38718.08,38718.08,0.0,2026-05-31,Paid,ACH,1,29,Yes,Yes,0.01,Yes,387.18
AP-0090,VND-004,BuildRight Materials,Materials,Central,Pedro Alvarez,2026-02-24,2026-03-26,30,43804.78,43804.78,0.0,2026-03-27,Paid,ACH,31,-1,No,No,0.0,No,0.0
AP-0091,VND-020,TrustBuild Facilities,Facilities,West,Sofia Reyes,2025-11-21,2026-01-20,60,22684.37,22684.37,0.0,2026-01-14,Paid,Check,54,6,Yes,No,0.0,No,0.0
AP-0092,VND-018,BuildFast Materials,Materials,North,Ana Torres,2025-10-22,2025-11-21,30,49876.44,49876.44,0.0,2025-11-30,Paid,ACH,39,-9,No,No,0.0,No,0.0
AP-0093,VND-004,BuildRight Materials,Materials,West,Marco Diaz,2025-02-17,2025-03-04,15,17569.98,17569.98,0.0,2025-03-10,Paid,Check,21,-6,No,Yes,0.02,No,0.0
AP-0094,VND-014,NetConnect Systems,IT,South,Marco Diaz,2025-06-24,2025-07-24,30,18130.2,18130.2,0.0,2025-07-21,Paid,Credit Card,27,3,Yes,Yes,0.01,No,0.0
AP-0095,VND-019,SkyNet IT Solutions,IT,South,Marco Diaz,2026-04-16,2026-05-31,45,24149.5,15426.83,8722.67,2026-05-31,Partial,Credit Card,45,0,Yes,Yes,0.015,No,0.0
AP-0096,VND-003,FastShip Logistics,Logistics,West,Laura Chen,2025-09-14,2025-11-13,60,9679.88,0.0,9679.88,,Overdue,Check,,-199,No,Yes,0.01,No,0.0
AP-0097,VND-016,CleanWater Utilities,Utilities,North,Marco Diaz,2025-10-30,2025-12-29,60,14894.03,0.0,14894.03,,Overdue,Credit Card,,-153,No,Yes,0.01,No,0.0
AP-0098,VND-022,Apex Consulting,Services,West,Laura Chen,2026-05-24,2026-06-08,15,33815.04,0.0,33815.04,,Pending,ACH,,,,No,0.0,No,0.0
AP-0099,VND-012,FacilityPro Services,Facilities,South,Marco Diaz,2025-04-10,2025-05-10,30,31812.32,31812.32,0.0,2025-05-02,Paid,Check,22,8,Yes,Yes,0.01,No,0.0
AP-0100,VND-015,ExpressRoute Logistics,Logistics,North,Ana Torres,2025-04-03,2025-05-03,30,18282.93,18282.93,0.0,2025-05-07,Paid,Check,34,-4,No,Yes,0.01,No,0.0
AP-0101,VND-012,FacilityPro Services,Facilities,Central,Ana Torres,2025-09-21,2025-10-21,30,32163.62,0.0,32163.62,,Overdue,Check,,-222,No,No,0.0,No,0.0
AP-0102,VND-010,DataBridge IT,IT,East,Sofia Reyes,2025-05-25,2025-06-24,30,61561.36,61561.36,0.0,2025-07-07,Paid,Credit Card,43,-13,No,Yes,0.01,No,0.0
AP-0103,VND-022,Apex Consulting,Services,West,Ana Torres,2026-02-09,2026-03-11,30,3514.99,3514.99,0.0,2026-03-06,Paid,Check,25,5,Yes,Yes,0.01,No,0.0
AP-0104,VND-019,SkyNet IT Solutions,IT,West,Laura Chen,2026-04-28,2026-05-28,30,6876.85,6876.85,0.0,2026-05-18,Paid,ACH,20,10,Yes,No,0.0,No,0.0
AP-0105,VND-008,GreenEnergy Corp.,Utilities,North,Pedro Alvarez,2025-04-30,2025-06-29,60,2526.77,2526.77,0.0,2025-06-26,Paid,Check,57,3,Yes,No,0.0,No,0.0
AP-0106,VND-018,BuildFast Materials,Materials,South,Pedro Alvarez,2026-03-06,2026-05-05,60,30192.34,21643.27,8549.07,2026-05-19,Partial,Credit Card,74,-14,No,No,0.0,No,0.0
AP-0107,VND-014,NetConnect Systems,IT,East,Sofia Reyes,2026-03-31,2026-04-30,30,38352.19,38352.19,0.0,2026-04-30,Paid,Check,30,0,Yes,Yes,0.01,No,0.0
AP-0108,VND-012,FacilityPro Services,Facilities,Central,Laura Chen,2025-10-10,2025-12-09,60,8263.68,4357.92,3905.76,2025-12-25,Partial,ACH,76,-16,No,Yes,0.01,No,0.0
AP-0109,VND-007,ProStaff Services,Services,Central,Sofia Reyes,2025-09-07,2025-11-06,60,39586.37,39586.37,0.0,2025-11-10,Paid,ACH,64,-4,No,No,0.0,No,0.0
AP-0110,VND-019,SkyNet IT Solutions,IT,South,Marco Diaz,2025-01-03,2025-02-02,30,25795.61,0.0,25795.61,,Overdue,Check,,-483,No,No,0.0,No,0.0
AP-0111,VND-018,BuildFast Materials,Materials,East,Marco Diaz,2025-05-15,2025-05-30,15,2713.3,2713.3,0.0,2025-05-22,Paid,ACH,7,8,Yes,No,0.0,No,0.0
AP-0112,VND-011,QuickFreight Inc.,Logistics,North,Marco Diaz,2025-05-10,2025-05-25,15,15092.64,15092.64,0.0,2025-05-12,Paid,Check,2,13,Yes,Yes,0.02,Yes,301.85
AP-0113,VND-017,OfficePro Services,Services,Central,Sofia Reyes,2025-02-14,2025-03-16,30,29907.99,29907.99,0.0,2025-03-18,Paid,Credit Card,32,-2,No,No,0.0,No,0.0
AP-0114,VND-010,DataBridge IT,IT,West,Sofia Reyes,2026-02-16,2026-05-17,90,36970.52,36970.52,0.0,2026-05-22,Paid,ACH,95,-5,No,Yes,0.005,No,0.0
AP-0115,VND-005,CloudSys Inc.,IT,North,Marco Diaz,2026-01-26,2026-03-27,60,79597.08,79597.08,0.0,2026-03-23,Paid,Check,56,4,Yes,Yes,0.01,No,0.0
AP-0116,VND-020,TrustBuild Facilities,Facilities,West,Sofia Reyes,2026-03-17,2026-04-16,30,16901.31,16901.31,0.0,2026-04-13,Paid,ACH,27,3,Yes,Yes,0.01,No,0.0
AP-0117,VND-014,NetConnect Systems,IT,East,Laura Chen,2026-05-01,2026-05-31,30,10035.0,0.0,10035.0,,Pending,Check,,,,No,0.0,No,0.0
AP-0118,VND-024,EliteFacilities Corp.,Facilities,East,Marco Diaz,2025-05-06,2025-07-05,60,15556.68,0.0,15556.68,,Overdue,ACH,,-330,No,No,0.0,No,0.0
AP-0119,VND-014,NetConnect Systems,IT,North,Laura Chen,2025-04-17,2025-06-16,60,48343.89,48343.89,0.0,2025-06-17,Paid,Check,61,-1,No,Yes,0.01,No,0.0
AP-0120,VND-008,GreenEnergy Corp.,Utilities,North,Laura Chen,2025-10-13,2025-11-12,30,8824.45,6947.25,1877.2,2025-11-26,Partial,Check,44,-14,No,No,0.0,No,0.0
AP-0121,VND-020,TrustBuild Facilities,Facilities,Central,Sofia Reyes,2025-07-04,2025-07-19,15,11017.92,0.0,11017.92,,Overdue,Check,,-316,No,No,0.0,No,0.0
AP-0122,VND-012,FacilityPro Services,Facilities,North,Marco Diaz,2025-03-13,2025-05-12,60,6681.86,6681.86,0.0,2025-05-12,Paid,Wire,60,0,Yes,Yes,0.01,No,0.0
AP-0123,VND-014,NetConnect Systems,IT,West,Laura Chen,2025-11-16,2026-01-15,60,59119.7,59119.7,0.0,2026-01-10,Paid,Wire,55,5,Yes,No,0.0,No,0.0
AP-0124,VND-003,FastShip Logistics,Logistics,North,Marco Diaz,2025-03-25,2025-04-09,15,6169.95,6169.95,0.0,2025-04-04,Paid,Wire,10,5,Yes,Yes,0.02,No,0.0
AP-0125,VND-025,RapidShip Co.,Logistics,Central,Sofia Reyes,2025-04-24,2025-06-23,60,6381.68,6381.68,0.0,2025-06-25,Paid,Check,62,-2,No,Yes,0.01,No,0.0
AP-0126,VND-022,Apex Consulting,Services,East,Sofia Reyes,2025-02-26,2025-04-27,60,3284.42,3284.42,0.0,2025-04-30,Paid,Wire,63,-3,No,Yes,0.01,No,0.0
AP-0127,VND-011,QuickFreight Inc.,Logistics,North,Sofia Reyes,2025-06-29,2025-08-28,60,3454.53,3454.53,0.0,2025-09-01,Paid,Credit Card,64,-4,No,Yes,0.01,No,0.0
AP-0128,VND-018,BuildFast Materials,Materials,East,Sofia Reyes,2026-03-23,2026-04-07,15,2899.59,1701.19,1198.4,2026-04-24,Partial,Credit Card,32,-17,No,No,0.0,No,0.0
AP-0129,VND-021,PrimePack Logistics,Logistics,West,Laura Chen,2025-01-22,2025-03-23,60,19357.79,0.0,19357.79,,Overdue,ACH,,-434,No,Yes,0.01,No,0.0
AP-0130,VND-015,ExpressRoute Logistics,Logistics,East,Sofia Reyes,2025-09-07,2025-10-07,30,9277.85,9277.85,0.0,2025-10-16,Paid,Credit Card,39,-9,No,Yes,0.01,No,0.0
AP-0131,VND-008,GreenEnergy Corp.,Utilities,East,Marco Diaz,2025-07-18,2025-08-17,30,13635.88,13635.88,0.0,2025-08-08,Paid,ACH,21,9,Yes,Yes,0.01,No,0.0
AP-0132,VND-021,PrimePack Logistics,Logistics,South,Marco Diaz,2025-09-20,2025-10-20,30,4748.16,4748.16,0.0,2025-10-18,Paid,ACH,28,2,Yes,Yes,0.01,No,0.0
AP-0133,VND-025,RapidShip Co.,Logistics,West,Pedro Alvarez,2025-11-20,2026-01-19,60,3868.19,3868.19,0.0,2026-01-15,Paid,Credit Card,56,4,Yes,Yes,0.01,No,0.0
AP-0134,VND-010,DataBridge IT,IT,East,Ana Torres,2025-03-17,2025-05-16,60,28280.59,28280.59,0.0,2025-05-17,Paid,ACH,61,-1,No,Yes,0.01,No,0.0
AP-0135,VND-003,FastShip Logistics,Logistics,Central,Ana Torres,2025-02-12,2025-05-13,90,9544.94,9544.94,0.0,2025-05-11,Paid,Credit Card,88,2,Yes,No,0.0,No,0.0
AP-0136,VND-011,QuickFreight Inc.,Logistics,Central,Pedro Alvarez,2026-04-07,2026-04-22,15,2966.54,2966.54,0.0,2026-04-18,Paid,Wire,11,4,Yes,No,0.0,No,0.0
AP-0137,VND-008,GreenEnergy Corp.,Utilities,West,Pedro Alvarez,2026-01-17,2026-03-18,60,13810.08,13810.08,0.0,2026-03-18,Paid,Wire,60,0,Yes,Yes,0.01,No,0.0
